book,chapter,testament
Psalms,67,old
Psalms,68,old
Psalms,69,old
Psalms,70,old
Psalms,71,old
Psalms,72,old
Psalms,73,old
Psalms,74,old
Psalms,75,old
Psalms,76,old
Psalms,77,old
Psalms,78,old
Psalms,79,old
Psalms,80,old
Psalms,81,old
Psalms,82,old
Psalms,83,old
Psalms,84,old
Psalms,85,old
Psalms,86,old
Psalms,87,old
Psalms,88,old
Psalms,89,old
Psalms,90,old
Psalms,91,old
Psalms,92,old
Psalms,93,old
Psalms,94,old
Psalms,95,old
Psalms,96,old
Psalms,97,old
Psalms,98,old
Psalms,99,old
Psalms,100,old
Psalms,101,old
Psalms,102,old
Psalms,103,old
Psalms,104,old
Psalms,105,old
Psalms,106,old
Psalms,107,old
Psalms,108,old
Psalms,109,old
Psalms,110,old
Psalms,111,old
Psalms,112,old
Psalms,113,old
Psalms,114,old
Psalms,115,old
Psalms,116,old
Psalms,117,old
Psalms,118,old
Psalms,119,old
Psalms,120,old
Psalms,121,old
Psalms,122,old
Psalms,123,old
Psalms,124,old
Psalms,125,old
Psalms,126,old
Psalms,127,old
Psalms,128,old
Psalms,129,old
Psalms,130,old
Psalms,131,old
Psalms,132,old
Psalms,133,old
Psalms,134,old
Psalms,135,old
Psalms,136,old
Psalms,137,old
Psalms,138,old
Psalms,139,old
Psalms,140,old
Psalms,141,old
Psalms,142,old
Psalms,143,old
Psalms,144,old
Psalms,145,old
Psalms,146,old
Psalms,147,old
Psalms,148,old
Psalms,149,old
Psalms,150,old
Proverbs,1,old
Proverbs,2,old
Proverbs,3,old
Proverbs,4,old
Proverbs,5,old
Proverbs,6,old
Proverbs,7,old
Proverbs,8,old
Proverbs,9,old
Proverbs,10,old
Proverbs,11,old
Proverbs,12,old
Proverbs,13,old
Proverbs,14,old
Proverbs,15,old
Proverbs,16,old
Proverbs,17,old
Proverbs,18,old
Proverbs,19,old
Proverbs,20,old
Proverbs,21,old
Proverbs,22,old
Proverbs,23,old
Proverbs,24,old
Proverbs,25,old
Proverbs,26,old
Proverbs,27,old
Proverbs,28,old
Proverbs,29,old
Proverbs,30,old
Proverbs,31,old
Ecclesiastes,1,old
Ecclesiastes,2,old
Ecclesiastes,3,old
Ecclesiastes,4,old
Ecclesiastes,5,old
Ecclesiastes,6,old
Ecclesiastes,7,old
Ecclesiastes,8,old
Ecclesiastes,9,old
Ecclesiastes,10,old
Ecclesiastes,11,old
Ecclesiastes,12,old
Song of Solomon,1,old
Song of Solomon,2,old
Song of Solomon,3,old
Song of Solomon,4,old
Song of Solomon,5,old
Song of Solomon,6,old
Song of Solomon,7,old
Song of Solomon,8,old
Isaiah,1,old
Isaiah,2,old
Isaiah,3,old
Isaiah,4,old
Isaiah,5,old
